UQFN48,WLCSP49,LQFP64,LQFP100,UFBGA100,LQFP144,Name,Type,IO,Alternate,Additional
0,0,0,1,B2,1,PE2,I/O,FT,TRACECLK/EVENTOUT,
0,0,0,2,A1,2,PE3,I/O,FT,TRACED0/EVENTOUT,
0,0,0,3,B1,3,PE4,I/O,FT,TRACED1/EVENTOUT,
0,0,0,4,C2,4,PE5,I/O,FT,TIM9_CH1/TRACED2/EVENTOUT,
0,0,0,5,D2,5,PE6,I/O,FT,TIM9_CH2/TRACED3/EVENTOUT,
0,0,0,0,D3,0,VSS,S,,,
0,0,0,0,C4,0,VDD,S, ,,
1,B7,1,6,E2,6,VBAT,S, ,,
2,D5,2,7,C1,7,PC13-ANTI_TAMP,I/O,FT,EVENTOUT,RTC_TAMP1/RTC_OUT/RTC_TS
3,C7,3,8,D1,8,PC14-OSC32_IN(PC14),I/O,FT,EVENTOUT,OSC32_IN
4,0,4,9,E1,9,PC15-OSC32_OUT(PC15),I/O,FT,EVENTOUT,OSC32_OUT
0,0,0,10,F2,0,VSS,S,,,
0,0,0,11,G2,0,VDD,S,,,
5,D7,5,12,F1,23,PH0-OSC_IN(PH0),I/O,FT,EVENTOUT,OSC_IN
6,D6,6,13,G1,24,PH1-OSC_OUT(PH1),I/O,FT,EVENTOUT,OSC_OUT
7,E7,7,14,H2,25,NRST,I/O,RST,EVENTOUT,
0,0,8,15,H1,26,PC0,I/O,FT,EVENTOUT,ADC1_IN10
0,0,9,16,J2,27,PC1,I/O,FT,EVENTOUT,ADC1_IN11
0,0,10,17,J3,28,PC2,I/O,FT,SPI2_MISO/I2S2ext_SD/EVENTOUT,ADC1_IN12
0,0,11,18,K2,29,PC3,I/O,FT,SPI2_MOSI/I2S2_SD/EVENTOUT,ADC1_IN13
0,0,0,19,0,0,VDD,S,,,
8,E6,12,20,0,0,VSSA-VREF-,S,,,
0,0,0,0,J11,0,VSSA,S,,,
0,0,0,0,K1,0,VREF-,S,,,
9,0,13,0,0,0,VDDA-VREF+,S,,,
0,0,0,21,L1,0,VREF+,S,,,
0,F7,0,22,M1,0,VDDA,S,,,
10,F6,14,23,L2,34,PA0-WKUP(PA0),I/O,FT,USART2_CTS/TIM2_CH1/TIM2_ETR/TIM5_CH1/EVENTOUT,ADC1_IN0/WKUP
11,G7,15,24,M2,35,PA1,I/O,FT,USART2_RTS/TIM2_CH2/TIM5_CH2/EVENTOUT,ADC1_IN1
12,E5,16,25,K3,36,PA2,I/O,FT,USART2_TX/TIM5_CH3/TIM9_CH1/TIM2_CH3/EVENTOUT,ADC1_IN2
13,E4,17,26,L3,37,PA3,I/O,FT,USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/EVENTOUT,ADC1_IN3
0,0,18,27,0,38,VSS,S,,,
0,0,19,28,0,39,VDD,S,,,
0,0,0,0,E3,0,BYPASS_REG,I,FT,,
14,G6,20,29,M3,40,PA4,I/O,FT,SPI1_NSS/SPI3_NSS/USART2_CK/I2S3_WS/EVENTOUT,ADC1_IN4
15,F5,21,30,K4,41,PA5,I/O,FT,SPI1_SCK/TIM2_CH1/TIM2_ETR/EVENTOUT,ADC1_IN5
16,F4,22,31,L4,42,PA6,I/O,FT,SPI1_MISO/TIM3_CH1/TIM1_BKIN/EVENTOUT,ADC1_IN6
17,F3,23,32,M4,43,PA7,I/O,FT,SPI1_MOSI/TIM3_CH2/TIM1_CH1N/EVENTOUT,ADC1_IN7
0,0,24,33,K5,44,PC4,I/O,FT,EVENTOUT,ADC1_IN14
0,0,25,34,L5,45,PC5,I/O,FT,EVENTOUT,ADC1_IN15
18,G5,26,35,M5,46,PB0,I/O,FT,TIM3_CH3/TIM1_CH2N/EVENTOUT,ADC1_IN8
19,G4,27,36,M6,47,PB1,I/O,FT,TIM3_CH4/TIM1_CH3N/EVENTOUT,ADC1_IN9
20,G3,28,37,L6,48,PB2-BOOT1(PB2),I/O,FT,EVENTOUT,
0,0,0,38,M7,58,PE7,I/O,FT,TIM1_ETR/EVENTOUT,
0,0,0,39,L7,59,PE8,I/O,FT,TIM1_CH1N/EVENTOUT,
0,0,0,40,M8,60,PE9,I/O,FT,TIM1_CH1/EVENTOUT,
0,0,0,41,L8,63,PE10,I/O,FT,TIM1_CH2N/EVENTOUT,
0,0,0,42,M9,64,PE11,I/O,FT,TIM1_CH2/EVENTOUT,
0,0,0,43,L9,65,PE12,I/O,FT,TIM1_CH3N/EVENTOUT,
0,0,0,44,M10,66,PE13,I/O,FT,TIM1_CH3/EVENTOUT,
0,0,0,45,M11,67,PE14,I/O,FT,TIM1_CH4/EVENTOUT,
0,0,0,46,M12,68,PE15,I/O,FT,TIM1_BKIN/EVENTOUT,
21,E3,29,47,L10,69,PB10,I/O,FT,SPI2_SCK/I2S2_CK/I2C2_SCL/TIM2_CH3/EVENTOUT,
0,0,0,0,K9,70,PB11,I/O,FT,EVENTOUT,
22,G2,30,48,L11,71,VCAP_1,S,,,
23,D3,31,49,F12,0,VSS,S,,,
24,F2,32,50,G12,72,VDD,S,,,
25,E2,33,51,L12,73,PB12,I/O,FT,SPI2_NSS/I2S2_WS/I2C2_SMBA/TIM1_BKIN/EVENTOUT,
26,G1,34,52,K12,74,PB13,I/O,FT,SPI2_SCK/I2S2_CK/TIM1_CH1N/EVENTOUT,
27,F1,35,53,K11,75,PB14,I/O,FT,SPI2_MISO/TIM1_CH2N/I2S2ext_SD/EVENTOUT,
28,E1,36,54,K10,76,PB15,I/O,FT,SPI2_MOSI/I2S2_SD/TIM1_CH3N/EVENTOUT,RTC_REFIN
0,0,77,55,0,77,PD8,I/O,FT,EVENTOUT,
0,0,78,56,K8,78,PD9,I/O,FT,EVENTOUT,
0,0,0,57,J12,79,PD10,I/O,FT,EVENTOUT,
0,0,0,58,J11,80,PD11,I/O,FT,EVENTOUT,
0,0,0,59,J10,81,PD12,I/O,FT,TIM4_CH1/EVENTOUT,
0,0,0,60,H12,82,PD13,I/O,FT,TIM4_CH2/EVENTOUT,
0,0,0,61,H11,85,PD14,I/O,FT,TIM4_CH3/EVENTOUT,
0,0,0,62,H10,86,PD15,I/O,FT,TIM4_CH4/EVENTOUT,
0,0,37,63,E12,96,PC6,I/O,FT,I2S2_MCK/SDIO_D6/USART6_TX/TIM3_CH1/EVENTOUT,
0,0,38,64,E11,97,PC7,I/O,FT,I2S3_MCK/SDIO_D7/USART6_RX/TIM3_CH2/EVENTOUT,
0,0,39,65,E10,98,PC8,I/O,FT,SDIO_D0/TIM3_CH3/USART6_CK/EVENTOUT,
0,0,40,66,D12,99,PC9,I/O,FT,I2S_CKIN/MCO_2/SDIO_D1/I2C3_SDA/TIM3_CH4/EVENTOUT,
29,D1,41,67,D11,100,PA8,I/O,FT,MCO+1/USART1_CK/TIM1_CH1/I2C3_SCL/OTG_FS_SOF/EVENTOUT,
30,D2,42,68,D10,101,PA9,I/O,FT,USART1_TX/TIM1_CH2/I2C3_SMBA/EVENTOUT,OTG_FS_VBUS
31,C2,43,69,C12,102,PA10,I/O,FT,USART1_RX/TIM1_CH3/OTG_FS_ID/EVENTOUT,
32,C1,44,70,B12,103,PA11,I/O,FT,USART1_CTS/USART6_TX/TIM1_CH4/OTG_FS_DM/EVENTOUT,
33,C3,45,71,A12,104,PA12,I/O,FT,USART1_RTS/USART6_RX/TIM1_ETR/OTG_FS_DP/EVENTOUT,
34,B3,46,72,A11,105,PA13(JTMS-SWDIO),I/O,FT,JTMS-SWDIO/EVENTOUT,
0,0,0,73,C11,106,VCAP_2,S,,,
35,B1,47,74,F11,107,VSS,S,,,
36,,48,75,G11,0,VDD,S,,,
0,B2,0,0,0,108,VDD,S,,,
37,A1,49,76,A10,109,PA14(JTCK-SWCLK),I/O,FT,JTCK-SWCLK/EVENTOUT,
38,A2,50,77,A9,110,PA15(JTDI),I/O,FT,JTDI/SPI3_NSS/I2S3_WS/TIM2_CH1/TIM2_ETR/SPI1_NSS/EVENTOUT,
0,0,51,78,B11,111,PC10,I/O,FT,SPI3_SCK/I2S3_CK/SDIO_D2/EVENTOUT,
0,0,52,79,C10,112,PC11,I/O,FT,SPI3_MISO/SDIO_D3/I2S3ext_SD/EVENTOUT,
0,0,53,80,B10,113,PC12,I/O,FT,SDIO_CK/SPI3_MOSI/I2S3_SD/EVENTOUT,
0,0,0,81,C9,114,PD0,I/O,FT,EVENTOUT,
0,0,0,82,B9,115,PD1,I/O,FT,EVENTOUT,
0,0,54,83,C8,116,PD2,I/O,FT,TIM3_ETR/SDIO_CMD/EVENTOUT,
0,0,0,84,B8,117,PD3,I/O,FT,SPI2_SCK/I2S2_CK/USART2_CTS/EVENTOUT,
0,0,0,85,B7,118,PD4,I/O,FT,USART2_RTS/EVENTOUT,
0,0,0,86,A6,119,PD5,I/O,FT,USART2_TX/EVENTOUT,
0,0,0,87,B6,122,PD6,I/O,FT,USART2_RX/EVENTOUT,
0,0,0,88,A5,123,PD7,I/O,FT,USART2_CK/EVENTOUT,
39,A3,55,89,A8,133,PB3(JTDO-TRACESWO),I/O,FT,JTDO-SWO/SPI3_SCK/I2S3_CK/I2C2_SDA/TIM2_CH2/SPI1_SCK/EVENTOUT,
40,A4,56,90,A7,134,PB4(NJTRST),I/O,FT,NJTRST/SPI3_MISO/TIM3_CH1/SPI1_MISO/I2C3_SDA/I2S3ext_SD/EVENTOUT,
41,B4,57,91,C5,135,PB5,I/O,FT,I2C1_SMBA/TIM3_CH2/SPI1_MOSI/SPI3_MOSI/I2S3_SD/EVENTOUT,
42,C4,58,92,B5,136,PB6,I/O,FT,I2C1_SCL/TIM4_CH1/USART1_TX/EVENTOUT,
43,D4,59,93,B4,137,PB7,I/O,FT,I2C1_SDA/USART1_RX/TIM4_CH2/EVENTOUT,
44,A5,60,94,A4,138,BOOT0,I,B,,VPP
45,B5,61,95,A3,139,PB8,I/O,FT,TIM4_CH3/SDIO_D4/TIM10_CH1/I2C1_SCL/EVENTOUT,
46,C5,62,96,B3,140,PB9,I/O,FT,SPI2_NSS/I2S2_WS/TIM4_CH4/TIM11_CH1/SDIO_D5/I2C1_SDA/EVENTOUT,
0,0,0,97,C3,141,PE0,I/O,FT,TIM4_ETR/EVENTOUT,
0,0,0,98,A2,142,PE1,I/O,FT,EVENTOUT,
47,A6,63,99,H3,0,VSS,S,,,
0,B6,0,0,0,143,PDR_ON,I,FT,,
48,A7,64,100,0,144,VDD,S,,,